Filter,,,,,,,
,,,,,,,
,,,Data,,,,
Archive,Object,Function,Sum - Total,Sum - Flash Code,Sum - IRAM,Sum - DIRAM,Sum - Flash Data
libuuid-ebab2f79aadaa27c.rlib,uuid,.rodata..Lanon.b27f78fc27b2204c45f4c371751c3fb6.20,16,0,0,0,16
,,.rodata..Lanon.b27f78fc27b2204c45f4c371751c3fb6.38,16,0,0,0,16
,,.rodata..Lanon.b27f78fc27b2204c45f4c371751c3fb6.39,16,0,0,0,16
,,.rodata..Lanon.b27f78fc27b2204c45f4c371751c3fb6.40,16,0,0,0,16
,,.rodata..Lanon.b27f78fc27b2204c45f4c371751c3fb6.41,16,0,0,0,16
,,.rodata..Lanon.b27f78fc27b2204c45f4c371751c3fb6.42,16,0,0,0,16
,,.rodata..Lanon.b27f78fc27b2204c45f4c371751c3fb6.43,16,0,0,0,16
,,.rodata..Lanon.b27f78fc27b2204c45f4c371751c3fb6.5,16,0,0,0,16
,,.rodata..Lanon.b27f78fc27b2204c45f4c371751c3fb6.6,43,0,0,0,43
,,.rodata..Lanon.b27f78fc27b2204c45f4c371751c3fb6.71,16,0,0,0,16
,,.rodata..Lanon.b27f78fc27b2204c45f4c371751c3fb6.72,17,0,0,0,17
,,.rodata.cst16,48,0,0,0,48
,,<core::array::TryFromSliceError as core::fmt::Debug>::fmt,36,36,0,0,0
,,<core::ops::range::Range<usize> as core::slice::index::SliceIndex<[u8]>>::index_mut,29,29,0,0,0
,,<core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[u8]>>::index_mut,29,29,0,0,0
,,<uuid::fmt::Hyphenated as core::fmt::LowerHex>::fmt,54,54,0,0,0
,,<uuid::rng::imp::RngImp as uuid::rng::Rng>::u128,46,46,0,0,0
,,<uuid::Uuid as core::fmt::LowerHex>::fmt,21,21,0,0,0
,,<uuid::Uuid as uuid::external::serde_support::UuidDeserialize>::from_slice,21,21,0,0,0
,,<uuid::Uuid>::from_slice,74,74,0,0,0
,,<uuid::Uuid>::from_u128,208,208,0,0,0
,,<uuid::Uuid>::new_v4,257,257,0,0,0
,,uuid::fmt::encode_hyphenated,105,105,0,0,0
,,uuid::fmt::format_hyphenated,241,241,0,0,0
libvfs.a,nullfs.c,.bss.g_fds,4,0,0,4,0
,,.esp_system_init_fn.113,8,0,0,0,8
,,.literal.esp_vfs_null_register,8,8,0,0,0
,,.literal.vfs_null_open,8,8,0,0,0
